2017-09-19 09:33:59.980 [main] WARN  o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'sheetController': Unsatisfied dependency expressed through field 'sheetService'; nested exception is org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'sheetService': Unsatisfied dependency expressed through field 'sheetMapper'; nested exception is org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'sheetMapper' defined in file [C:\Users\Administrator\Desktop\orService\target\classes\com\manji\orService\mapper\SheetMapper.class]: Unsatisfied dependency expressed through bean property 'sqlSessionFactory'; nested exception is org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'sqlSessionFactory' defined in class path resource [org/mybatis/spring/boot/autoconfigure/MybatisAutoConfiguration.class]: Bean instantiation via factory method failed; nested exception is org.springframework.beans.BeanInstantiationException: Failed to instantiate [org.apache.ibatis.session.SqlSessionFactory]: Factory method 'sqlSessionFactory' threw exception; nested exception is org.springframework.core.NestedIOException: Failed to parse mapping resource: 'file [C:\Users\Administrator\Desktop\orService\target\classes\MapperXml\SheetMapper.xml]'; nested exception is org.apache.ibatis.builder.BuilderException: Error creating document instance.  Cause: org.xml.sax.SAXParseException; lineNumber: 77; columnNumber: 79; 元素内容必须由格式正确的字符数据或标记组成。
2017-09-19 09:34:59.565 [http-nio-8080-exec-2] WARN  c.m.o.c.w.UserAop$$EnhancerBySpringCGLIB$$faa7197c - 请求开始, 各个参数, url: http://localhost:8080/sheet/selectSheet, method: POST, uri: /sheet/selectSheet, params: userId=1&jsonToString=pendshet&user=1
2017-09-19 10:08:00.397 [http-nio-8080-exec-1] WARN  c.m.o.c.w.UserAop$$EnhancerBySpringCGLIB$$3cbb9c4f - 请求开始, 各个参数, url: http://localhost:8080/sheet/selectSheet, method: POST, uri: /sheet/selectSheet, params: userId=1&jsonToString=pendshet&user=1
2017-09-19 10:08:25.518 [http-nio-8080-exec-1] WARN  c.m.o.c.w.UserAop$$EnhancerBySpringCGLIB$$ef0dc2c7 - 请求开始, 各个参数, url: http://localhost:8080/sheet/selectSheet, method: POST, uri: /sheet/selectSheet, params: userId=1&jsonToString=pendshet&user=1
2017-09-19 10:11:16.552 [http-nio-8080-exec-2] WARN  c.m.o.c.w.UserAop$$EnhancerBySpringCGLIB$$6dda9828 - 请求开始, 各个参数, url: http://localhost:8080/sheet/selectSheet, method: POST, uri: /sheet/selectSheet, params: userId=1&jsonToString=pendshet&user=1
2017-09-19 10:11:48.260 [http-nio-8080-exec-1] WARN  c.m.o.c.w.UserAop$$EnhancerBySpringCGLIB$$e345aa92 - 请求开始, 各个参数, url: http://localhost:8080/sheet/selectSheet, method: POST, uri: /sheet/selectSheet, params: userId=1&jsonToString=pendshet&user=1
2017-09-19 10:12:08.560 [http-nio-8080-exec-1] WARN  c.m.o.c.w.UserAop$$EnhancerBySpringCGLIB$$6a34826e - 请求开始, 各个参数, url: http://localhost:8080/sheet/selectSheet, method: POST, uri: /sheet/selectSheet, params: userId=1&jsonToString=pendshet&user=1
2017-09-19 10:12:39.612 [http-nio-8080-exec-1] WARN  c.m.o.c.w.UserAop$$EnhancerBySpringCGLIB$$904fae80 - 请求开始, 各个参数, url: http://localhost:8080/sheet/selectSheet, method: POST, uri: /sheet/selectSheet, params: userId=1&jsonToString=pendshet&user=1
2017-09-19 10:13:04.552 [http-nio-8080-exec-2] WARN  c.m.o.c.w.UserAop$$EnhancerBySpringCGLIB$$c6407866 - 请求开始, 各个参数, url: http://localhost:8080/sheet/selectSheet, method: POST, uri: /sheet/selectSheet, params: userId=1&jsonToString=pendshet&user=1
2017-09-19 10:13:56.247 [http-nio-8080-exec-3] WARN  c.m.o.c.w.UserAop$$EnhancerBySpringCGLIB$$c6407866 - 请求开始, 各个参数, url: http://localhost:8080/sheet/selectSheet, method: POST, uri: /sheet/selectSheet, params: userId=1&jsonToString=pendshet&user=1
2017-09-19 10:14:09.034 [http-nio-8080-exec-2] WARN  c.m.o.c.w.UserAop$$EnhancerBySpringCGLIB$$1c296b87 - 请求开始, 各个参数, url: http://localhost:8080/sheet/selectSheet, method: POST, uri: /sheet/selectSheet, params: userId=1&jsonToString=pendshet&user=1
2017-09-19 10:14:42.296 [http-nio-8080-exec-2] WARN  c.m.o.c.w.UserAop$$EnhancerBySpringCGLIB$$b0a37394 - 请求开始, 各个参数, url: http://localhost:8080/sheet/selectSheet, method: POST, uri: /sheet/selectSheet, params: userId=1&jsonToString=pendshet&user=1
